,x,y,Sx,Sy,Sz
0,-4.0,-4.0,-0.05466964346301538,0.35661030207165156,0.34595902390179784
1,-4.0,-3.0,-0.05466964227137879,0.35661029675945005,0.345959028514718
2,-4.0,-2.0,-0.054669635989139986,0.35661029410918016,0.3459590309843204
3,-4.0,-1.0,-0.05466962500768881,0.35661029392974375,0.3459590319010248
4,-4.0,0.0,-0.05466961590785086,0.3566102978527984,0.3459590290695842
5,-4.0,1.0,-0.05466961221461803,0.35661030513766767,0.34595902291080793
6,-4.0,2.0,-0.05466961808660481,0.3566103120419659,0.34595901613304614
7,-4.0,3.0,-0.054669626854155745,0.35661031240218255,0.34595901565032905
8,-4.0,4.0,-0.05466963684151814,0.3566103069360203,0.34595902035003234
9,-3.0,-4.0,-0.05466964982553307,0.35661030218521994,0.3459590232437804
10,-3.0,-3.0,-0.05466964810243195,0.3566102952323278,0.3459590293268334
11,-3.0,-2.0,-0.05466964192471024,0.3566102896974808,0.34595903429918234
12,-3.0,-1.0,-0.05466962402281976,0.3566102891764792,0.34595903633329333
13,-3.0,0.0,-0.05466960925725303,0.35661029524335774,0.34595903205443873
14,-3.0,1.0,-0.054669606920095426,0.35661030674252364,0.34595902165615955
15,-3.0,2.0,-0.05466961484378857,0.3566103166584684,0.3459590119586546
16,-3.0,3.0,-0.054669629142233826,0.35661031805520954,0.3459590100129658
17,-3.0,4.0,-0.05466964200828894,0.3566103085185043,0.3459590187598321
18,-2.0,-4.0,-0.05466966584206706,0.35661030222266626,0.34595902130249817
19,-2.0,-3.0,-0.05466966371280357,0.3566102945611662,0.3459590279066945
20,-2.0,-2.0,-0.05466965063731373,0.356610286527908,0.3459590358521939
21,-2.0,-1.0,-0.05466962538628898,0.35661028668004907,0.3459590378448156
22,-2.0,0.0,-0.05466960158503707,0.356610294700505,0.3459590330069674
23,-2.0,1.0,-0.054669594252506684,0.3566103112952039,0.3459590184234226
24,-2.0,2.0,-0.05466961081863723,0.35661032081564836,0.3459590083251375
25,-2.0,3.0,-0.054669635523400296,0.3566103201548731,0.34595900724221407
26,-2.0,4.0,-0.054669657925613735,0.3566103113172897,0.3459590140843271
27,-1.0,-4.0,-0.054669685699192755,0.35661030767433777,0.3459590129210669
28,-1.0,-3.0,-0.05466967999243891,0.3566102973266757,0.3459590227693718
29,-1.0,-2.0,-0.054669654543563546,0.3566102852856879,0.34595903662454797
30,-1.0,-1.0,-0.05466961802822054,0.35661028277448126,0.3459590428741861
31,-1.0,0.0,-0.05466958581302002,0.3566102929606453,0.34595903699755837
32,-1.0,1.0,-0.05466957948273378,0.35661031266294346,0.34595901903822496
33,-1.0,2.0,-0.05466960954251372,0.35661032290657063,0.3459590061106058
34,-1.0,3.0,-0.05466965105515967,0.35661031956839134,0.34595900536228186
35,-1.0,4.0,-0.054669691187925,0.35661031378739316,0.34595900632361626
36,0.0,-4.0,-0.054669724311086756,0.35661031290946427,0.34595900120612755
37,0.0,-3.0,-0.054669703762858464,0.3566103028446318,0.34595901349073194
38,0.0,-2.0,-0.05466965700162846,0.3566102876195081,0.3459590341346435
39,0.0,-1.0,-0.05466959979380473,0.3566102788431572,0.3459590502139188
40,0.0,0.0,-0.054669562932198615,0.35661028450482124,0.34595904976431735
41,0.0,1.0,-0.05466956448448948,0.35661029868547567,0.3459590360650647
42,0.0,2.0,-0.05466961084520569,0.35661031197949744,0.34595901723157546
43,0.0,3.0,-0.05466967461161304,0.35661032166143397,0.34595899930862417
44,0.0,4.0,-0.05466972102971665,0.35661032265965187,0.34595899210465914
45,1.0,-4.0,-0.05466973896792749,0.35661032912659113,0.3459589813514238
46,1.0,-3.0,-0.05466970594558469,0.3566103239950296,0.3459589907420692
47,1.0,-2.0,-0.0546696418899727,0.35661030501842234,0.3459590187230507
