,x,y,Sx,Sy,Sz
0,-4.0,-4.0,-1.9435206006496558e-09,1.3430490275370578e-09,0.4999999999999999
1,-4.0,-3.0,-1.2715927314272967e-09,6.585458300175115e-10,0.5
2,-4.0,-2.0,-1.574289680173676e-09,1.7369672182173915e-10,0.5000000000000002
3,-4.0,-1.0,-2.3032797088629055e-09,-3.6945075069291026e-10,0.5
4,-4.0,0.0,-3.3061805270644753e-09,-8.848271145121529e-10,0.5
5,-4.0,1.0,-4.399843513088275e-09,-1.020167120038402e-09,0.5
6,-4.0,2.0,-4.722312524117855e-09,-6.260429098074468e-10,0.5
7,-4.0,3.0,-5.050773252402056e-09,2.0062753934821113e-10,0.5
8,-4.0,4.0,-4.28037084051706e-09,1.0150375432108455e-09,0.5000000000000001
9,-3.0,-4.0,-4.4556460928583255e-10,1.0852112849496223e-09,0.49999999999999994
10,-3.0,-3.0,-1.283648114781677e-10,5.53542287423955e-11,0.5000000000000001
11,-3.0,-2.0,-2.0041641656453336e-10,8.213032504738647e-11,0.5000000000000001
12,-3.0,-1.0,-5.152644500999029e-10,1.8090786894107758e-11,0.5000000000000001
13,-3.0,0.0,-9.775477832702472e-10,2.885371645717317e-11,0.5
14,-3.0,1.0,-1.3160733925419033e-09,-3.529267746577645e-10,0.5
15,-3.0,2.0,-2.358897405923183e-09,-4.91550096224953e-10,0.5
16,-3.0,3.0,-1.5459194792223923e-09,-1.1564385872060022e-11,0.5
17,-3.0,4.0,-1.6736909652883615e-09,3.1458680243409384e-10,0.5000000000000001
18,-2.0,-4.0,8.140604035888417e-11,5.115449813646233e-10,0.5
19,-2.0,-3.0,2.881801552467133e-10,3.945393048265262e-10,0.5
20,-2.0,-2.0,-1.2401601164264575e-10,3.4682944898040106e-10,0.5000000000000001
21,-2.0,-1.0,-3.9049283997808266e-10,5.627140655122612e-10,0.49999999999999994
22,-2.0,0.0,-5.31517342761565e-10,2.6862143249219743e-10,0.5000000000000001
23,-2.0,1.0,-7.229443606062956e-10,-9.487901888238031e-11,0.4999999999999999
24,-2.0,2.0,-7.578622953441211e-10,-4.5724428023748583e-11,0.5
25,-2.0,3.0,-9.205190873204373e-10,1.658050347116217e-10,0.49999999999999994
26,-2.0,4.0,-5.926428154120816e-10,4.169544519348011e-10,0.5000000000000001
27,-1.0,-4.0,1.574717091358563e-10,4.110288350819144e-10,0.4999999999999999
28,-1.0,-3.0,2.1254548105525547e-11,2.042556822780471e-10,0.5000000000000001
29,-1.0,-2.0,1.3185063450071745e-10,1.8666065508161784e-10,0.5000000000000001
30,-1.0,-1.0,-1.2138264306034593e-10,6.168249216026823e-11,0.5
31,-1.0,0.0,-2.1253203897703476e-10,1.3374733542821075e-10,0.5000000000000001
32,-1.0,1.0,-1.0411882733688636e-10,-9.968142784648148e-12,0.5
33,-1.0,2.0,-1.7890572593581358e-10,2.6685616410841898e-11,0.5000000000000001
34,-1.0,3.0,-1.6145067456022499e-10,-1.403016301052259e-11,0.5
35,-1.0,4.0,-2.477008604129574e-11,8.548057113651654e-11,0.49999999999999994
36,0.0,-4.0,3.9548988028516275e-11,6.430543596850326e-11,0.5000000000000001
37,0.0,-3.0,-9.797032118552618e-13,4.5332251853498515e-11,0.5
38,0.0,-2.0,5.388821207304884e-12,6.832376143511743e-11,0.49999999999999994
39,0.0,-1.0,-2.4993815897161825e-11,-1.839541385866632e-11,0.49999999999999994
40,0.0,0.0,-6.69206682560688e-11,2.7800692741654637e-11,0.5000000000000001
41,0.0,1.0,-2.30120833041019e-11,1.3124792057498225e-11,0.5000000000000001
42,0.0,2.0,-5.877984284562564e-11,5.6605315900179055e-12,0.49999999999999994
43,0.0,3.0,-3.879443516233067e-11,-1.2305150427232213e-11,0.5
