,x,y,Sx,Sy,Sz
0,-4.0,-4.0,-0.030236063450584313,-0.02965558802108509,0.48962436845162893
1,-4.0,-3.0,0.10469729734803151,-0.1530774687111158,0.4435713076785564
2,-4.0,-2.0,0.34456964403354756,-0.18542590688126712,0.26323636789016
3,-4.0,-1.0,0.45867848558589785,-0.0009211718580763584,0.1331014082823453
4,-4.0,0.0,0.34622156185868663,0.18459924871663333,0.2615053811139218
5,-4.0,1.0,0.10599996989980132,0.15408528193489832,0.4427610209420718
6,-4.0,2.0,-0.02973990386601399,0.030255127465903954,0.48953799045318547
7,-4.0,3.0,-0.11296192782615731,-0.004721780534364824,0.47804542646745407
8,-4.0,4.0,-0.11312002758383576,0.004842834235057287,0.4780335372498303
9,-3.0,-4.0,-0.15553601538707656,0.10524398520003672,0.4427618179126051
10,-3.0,-3.0,0.016501331461961977,0.01799046745002987,0.48835712339501564
11,-3.0,-2.0,0.14726255986438222,-0.029772625661073727,0.4636748308750992
12,-3.0,-1.0,0.21326166051019754,-0.00020331982583340024,0.4386219141483178
13,-3.0,0.0,0.14809047283460583,0.029671877201786608,0.4633463634779768
14,-3.0,1.0,0.0173264959572572,-0.01762470774164132,0.4882772827731827
15,-3.0,2.0,-0.15470556971173022,-0.10510221502765667,0.44298797686380775
16,-3.0,3.0,-0.3298908785393933,-0.062232053027386575,0.3284830057689836
17,-3.0,4.0,-0.3302384992561749,0.061975154469592356,0.328304251373592
18,-2.0,-4.0,-0.18658479634158198,0.34687583625253615,0.25913259136703287
19,-2.0,-3.0,-0.030344525876660585,0.14939578206871337,0.4626171164645871
20,-2.0,-2.0,0.029535543063150566,0.03029002484707139,0.49464873532787024
21,-2.0,-1.0,0.05315567360930723,3.993739905216498e-06,0.4944984842936007
22,-2.0,0.0,0.029832316399860198,-0.03005168231325964,0.4946469704620491
23,-2.0,1.0,-0.029855056089985434,-0.1486424381685608,0.46291866205370563
24,-2.0,2.0,-0.18530939358893433,-0.3465230704516629,0.26038968809830176
25,-2.0,3.0,-0.3944233357330632,-0.19387800015152482,-0.11564928181220546
26,-2.0,4.0,-0.39489053260819884,0.19261473470857957,-0.11645648333270857
27,-1.0,-4.0,0.0011559149384551158,0.45908502796628087,0.12925808709357692
28,-1.0,-3.0,0.0002665811452468548,0.21492059621817164,0.43743424224983146
29,-1.0,-2.0,2.2060712045970596e-05,0.05379974064319863,0.49436766332816945
30,-1.0,-1.0,-3.863004934650845e-05,8.789753414257796e-05,0.4990997644170755
31,-1.0,0.0,4.625145503602928e-05,-0.05332722340316531,0.4944487020351041
32,-1.0,1.0,0.0003732010271094013,-0.21379088790017153,0.4380859819768396
33,-1.0,2.0,0.00142407618914269,-0.4584778520297835,0.13163674437240858
34,-1.0,3.0,0.002619306093553429,-0.2509234567490167,-0.38695269079262606
35,-1.0,4.0,0.0024691225991011305,0.2488417764668073,-0.3882324943575583
36,0.0,-4.0,0.18768772246351648,0.34470307686933,0.2612322743908026
37,0.0,-3.0,0.03049471880403536,0.14834677702259744,0.4630001841196531
38,0.0,-2.0,-0.02962169978905438,0.029983057181120796,0.49470337480335946
39,0.0,-1.0,-0.05327790019269046,3.064015677305815e-05,0.49454210820504546
40,0.0,0.0,-0.02991823342241566,-0.029681776931302403,0.4947373917310895
41,0.0,1.0,0.03008282725226137,-0.14737655182758794,0.46351429791910514
42,0.0,2.0,0.1865647208056704,-0.34413936270916096,0.26312276474013707
43,0.0,3.0,0.396698389280956,-0.19281082405255637,-0.11023945351495792
44,0.0,4.0,0.39710105568940157,0.1911511294377282,-0.11146372229190353
45,1.0,-4.0,0.15441069043826205,0.10346421805963697,0.4437498835413533
46,1.0,-3.0,-0.01684696482278438,0.017184018273504784,0.48850022893406303
47,1.0,-2.0,-0.14766603114240237,-0.030000556572384537,0.46364856534290955
48,1.0,-1.0,-0.21366241094716437,-0.0001888275957518877,0.4385628784458861
49,1.0,0.0,-0.14852342596370957,0.029976990691990762,0.4633504886263653
50,1.0,1.0,-0.017765897561972322,-0.016633257417885954,0.48852785564650375
51,1.0,2.0,0.15322389903537764,-0.10334756620483941,0.4443321405999688
52,1.0,3.0,0.3274524766878898,-0.06148368928851249,0.3316646502279108
53,1.0,4.0,0.3279721907788615,0.06093837262737784,0.33126106548318474
54,2.0,-4.0,0.02957693919080606,-0.03018089318001732,0.4897803171003634
55,2.0,-3.0,-0.1048941440161201,-0.15353415480915936,0.4435260130143065
56,2.0,-2.0,-0.34487791302524495,-0.18592440820594233,0.26279780815981957
57,2.0,-1.0,-0.4590522602004981,-0.0008915851947147083,0.13239146288538137
58,2.0,0.0,-0.3465179362366986,0.1851268673202738,0.2611222069865491
59,2.0,1.0,-0.10628762002669837,0.1544767492092888,0.44273307270873474
60,2.0,2.0,0.028975298286610083,0.03073999580584683,0.4897340859956013
61,2.0,3.0,0.1113990882083336,-0.0044756060036875486,0.47866678729368656
62,2.0,4.0,0.11165065574215313,0.004512605076465524,0.47861074504008344
63,3.0,-4.0,-0.004929522554435552,-0.11269357755797689,0.4778088258735762
64,3.0,-3.0,-0.062118701466828186,-0.3278328360464917,0.32873468185243565
65,3.0,-2.0,-0.19181693729679608,-0.39414530976123413,-0.111499888988051
66,3.0,-1.0,-0.24960963805208283,-0.001819812445645083,-0.3862733358873525
67,3.0,0.0,-0.19279361178031548,0.39258621339824185,-0.11524565127576329
68,3.0,1.0,-0.06280927950327568,0.32961076055715743,0.32659072472420264
69,3.0,2.0,-0.005184677157641311,0.1138344979605368,0.4774044806217597
